IsRobot	Pages	Requests	Transfer	Duration	TimePerPage	EmptyReferrers	4xxRequests
True	7	8	20.66	1604	267.33	100	0
True	11	15	127.87	8356	835.6	100	0
True	19	25	129.78	1033	57.39	100	0
True	50	50	183.77	2828	57.71	100	0
True	17	17	82.8	4280	267.5	100	0
True	14	18	45.89	5535	425.77	100	0
True	3	3	11.39	2157	1078.5	100	0
True	2	3	1.87	348	348	100	0
True	7	9	43.07	2158	359.67	100	0
True	11	12	74.19	18	1.8	100	0
True	37	69	1173.43	517	14.36	100	0
True	512	516	1719.56	1060	2.07	100	0
True	2	2	5.56	1340	1340	100	0
True	13	19	31.39	5893	491.08	100	0
True	7	9	56.51	15	2.5	100	0
True	11	12	141.51	910	91	100	0
True	2	77	645.89	3	3	3.9	1.3
True	11	11	197.94	81	8.1	100	0
True	4	5	23.17	4	1.33	100	0
True	2	2	5.24	6	6	100	0
True	17	20	272.58	23	1.44	100	0
True	4	4	0.87	3	1	100	100
True	23	33	56.18	9916	450.73	100	0
True	82	100	921.23	14562	179.78	100	0
True	3	5	167.84	6	3	100	0
True	61	64	459	62	1.03	100	0
True	7	10	113.18	217	36.17	100	0
True	2	2	73.51	1272	1272	100	0
True	3	4	9.67	438	219	100	0
True	10	10	73.77	7117	790.78	100	0
True	3	3	36.06	121	60.5	100	0
True	2	2	0	592	592	100	0
True	22	22	120.57	11921	567.67	100	0
True	3	5	15.6	2359	1179.5	100	0
True	20	23	151.39	5604	294.95	100	0
True	4	4	9.65	130	43.33	100	0
True	2	4	14.79	890	890	100	0
True	16	24	193	6448	429.87	100	0
True	2	3	24.39	416	416	100	33.33
True	61	63	487.33	62	1.03	100	0
True	57	74	419.63	14138	252.46	100	0
True	3	3	11.52	341	170.5	100	0
True	2	3	24.87	26	26	100	33.33
True	3	5	16.15	5125	2562.5	100	0
True	16	17	50.15	75	5	100	0
True	52	59	404.41	16070	315.1	100	0
True	4	5	21.67	520	173.33	0	0
True	2	2	12.89	596	596	100	0
True	6	8	13.64	3153	630.6	100	0
True	2	58	753.82	272	272	0	0
True	3	3	21.75	1687	843.5	100	0
True	7	13	24.57	9110	1518.33	100	0
True	6	9	51.11	35	7	77.78	11.11
True	3	3	14.08	182	91	100	0
True	6	7	19.29	712	142.4	100	0
True	2	2	2.54	69	69	100	0
True	8	11	162.17	2642	377.43	100	0
True	12	17	29.76	6876	625.09	100	0
True	2	3	3.14	354	354	100	0
True	5	9	25.13	2991	747.75	100	0
True	61	64	446.65	100	1.67	100	0
True	4	9	59.82	4	1.33	100	0
True	5	7	75.51	1613	403.25	100	0
True	5	5	42.17	1659	414.75	100	0
True	47	47	336.48	23055	501.2	100	2.13
True	2	3	2.97	126	126	100	0
True	2	2	72.97	22	22	100	0
True	3	5	34.11	2	1	100	0
True	3	363	3590.78	1238	619	0.83	0.83
True	66	115	854.52	21441	329.86	100	0
True	2	2	14.98	1770	1770	100	0
True	4	4	19.79	1321	440.33	100	0
True	61	65	749.32	119	1.98	98.46	0
True	3	3	22.82	2	1	0	0
True	4	4	42.99	1900	633.33	100	0
True	9	13	32.58	5952	744	100	0
True	49	53	260.38	8353	174.02	100	0
True	28	29	424.41	3338	123.63	100	0
True	2	77	650.66	6	6	3.9	1.3
True	2	2	0	937	937	100	0
True	5	6	31.13	2416	604	100	0
True	8	9	20.19	1784	254.86	100	0
True	6	6	10.42	2	0.4	100	0
True	10	63	2540.15	74	8.22	100	0
True	30	33	160.1	2445	84.31	100	0
True	48	50	119.28	3809	81.04	100	60
True	4	5	13.75	1058	352.67	100	0
True	4	5	14.77	1939	646.33	100	0
True	18	18	68.27	3230	190	100	0
True	10	11	38.79	23	2.56	100	0
True	22	34	83.18	16474	784.48	100	0
True	4	4	15.72	2948	982.67	100	0
True	10	10	51.32	1925	213.89	100	0
True	27	30	167.28	49	1.88	100	0
True	4	4	28.69	2	0.67	100	0
True	23	161	1415.81	308	14	1.86	1.86
True	15	19	47.69	711	50.79	100	0
True	7	8	26.27	281	46.83	100	0
True	39	64	1809.27	71	1.87	100	0
True	3	4	14.88	1241	620.5	100	0
True	5	6	16.77	15	3.75	100	0
True	23	32	60.2	15290	695	100	0
True	2	69	394.07	164	164	5.8	2.9
True	38	59	1683.22	5265	142.3	100	13.56
True	3	4	9.3	9	4.5	100	0
True	4	5	1.03	4	1.33	100	100
True	120	177	427.31	53173	446.83	100	0
True	16	16	82.9	15	1	100	0
True	2	5	10.7	223	223	80	40
True	4	5	30.63	60	20	100	20
True	6	6	25.85	1790	358	100	0
True	5	5	30.43	3	0.75	100	0
True	2	3	13.59	87	87	100	33.33
True	12	12	58.71	2851	259.18	100	0
True	126	138	1190.77	42405	339.24	100	0
True	26	36	80.97	20856	834.24	100	0
True	8	10	28.19	816	116.57	100	20
True	4	8	211.39	5192	1730.67	100	12.5
True	61	63	469.53	62	1.03	100	0
True	2	3	17.86	905	905	100	0
True	98	140	303.01	46130	475.57	100	0
True	9	9	31.06	3506	438.25	100	0
True	2	2	7.17	10	10	100	0
True	18	18	75.5	42	2.47	100	0
True	5	9	220.3	1641	410.25	100	0
True	8	10	24.57	3639	519.86	100	0
True	2	11	104.08	19	19	18.18	18.18
True	3	5	14.49	2160	1080	100	0
True	7	7	39.71	2	0.33	100	0
True	8	10	45.24	2322	331.71	100	0
True	4	4	0.87	2	0.67	100	100
True	15	15	67.99	3298	235.57	100	0
True	3	7	60.15	2837	1418.5	100	0
True	13	16	21.32	20	1.67	100	6.25
True	2	2	8.84	481	481	100	0
True	3	139	1093.79	143	71.5	3.6	1.44
True	4	4	25.67	17	5.67	100	0
True	7	8	76.28	11	1.83	100	0
True	10	13	40.79	3403	378.11	100	0
True	2	2	2.87	328	328	100	0
True	4	4	0.87	2	0.67	100	100
True	5	6	23.01	3870	967.5	100	0
True	3	3	50.89	10	5	100	0
True	2	2	7.89	89	89	100	0
True	6	6	32.72	3282	656.4	100	0
True	2	2	20.88	1645	1645	100	0
True	18	20	69.49	91	5.35	100	0
True	2	3	13.04	5	5	100	0
True	4	4	0.87	3	1	100	100
True	4	6	27.28	7	2.33	100	0
True	5	5	28.56	2020	505	100	0
True	186	190	537.73	319	1.72	100	0
True	9	9	50.23	5269	658.63	100	0
True	25	41	119.67	18125	755.21	100	2.44
True	16	16	85.47	1559	103.93	100	0
True	16	17	92.82	5192	346.13	100	0
True	4	4	11.06	1257	419	100	0
True	10	15	72.86	1802	200.22	100	0
True	17	17	94.22	2874	179.63	100	0
True	4	4	10.53	3	1	100	0
True	4	5	30.35	2404	801.33	100	0
True	7	8	49.46	3	0.5	100	0
True	2	2	1.45	1048	1048	100	0
True	8	11	10.06	15	2.14	100	0
True	4	6	50.53	341	113.67	100	0
True	3	3	25.39	23	11.5	0	0
True	9	10	240.79	16	2	100	10
True	11	16	68.86	3276	327.6	100	0
True	7	8	60.13	2307	384.5	100	0
True	2	2	0	2	2	0	0
True	12	14	268.13	2772	252	100	0
True	13	14	40.73	3042	253.5	100	0
True	7	7	19.27	17	2.83	100	14.29
True	32	53	108.97	26153	843.65	100	1.89
True	14	15	69.36	3783	291	100	0
True	27	30	195.19	5284	203.23	100	0
True	39	44	192.07	104	2.74	100	0
True	2	2	6.47	4	4	0	0
True	3	3	14.08	7	3.5	100	0
True	12	16	153.9	1965	178.64	100	0
True	13	13	52.5	29	2.42	100	0
True	15	22	60.72	12274	876.71	100	0
True	10	11	18.96	33	3.67	100	9.09
True	2	2	1.54	371	371	100	0
True	2	3	173.12	674	674	100	0
True	9	16	173.01	4560	570	100	0
True	15	17	43.92	51	3.64	100	0
True	4	4	108.53	1261	420.33	100	0
True	2	2	12.68	2	2	0	0
True	3	5	11.54	6	3	100	0
True	7	11	57.15	703	117.17	100	0
True	7	7	41.42	2823	470.5	100	0
True	17	18	57.17	90	5.63	100	0
True	22	30	330.6	18	0.86	100	0
True	4	13	84.61	4	1.33	100	0
True	61	64	462.55	62	1.03	100	0
True	2	79	351.25	6	6	2.53	0
True	4	5	17.8	3711	1237	100	0
True	3	5	18.38	2113	1056.5	100	0
True	183	221	1561.88	54581	299.9	100	0
True	7	10	7.9	14	2.33	100	0
True	10	10	60.09	4204	467.11	100	0
True	3	3	22.82	2	1	0	0
True	5	23	38.81	6	1.5	82.61	4.35
True	179	237	2329.77	59639	335.05	100	0
True	2	2	5.25	21	21	100	0
True	8	11	150.42	4	0.57	100	0
True	5	5	18.32	1544	386	100	0
True	4	6	77.88	23	7.67	100	0
True	12	12	158.85	1084	98.55	100	0
True	9	9	51.12	1618	202.25	100	0
True	2	10	104.61	2	2	20	10
True	10	10	40.27	92	10.22	100	0
True	2	2	18.42	76	76	100	0
True	6	8	90.1	1591	318.2	100	0
True	20	31	173.31	9657	508.26	100	0
True	9	9	41.81	1563	195.38	100	0
True	65	65	395.25	20851	325.8	100	0
True	17	25	81.47	10694	668.38	100	0
True	6	6	101.23	214	42.8	100	0
True	7	7	15.27	5180	863.33	100	0
True	12	13	5.73	36	3.27	100	0
True	2	126	1115.44	553	553	3.17	1.59
True	5	7	33.08	3731	932.75	100	0
True	13	21	169.8	5880	490	100	0
True	43	45	279.54	11117	264.69	100	0
True	2	3	17.39	30	30	100	33.33
True	2	2	3.2	144	144	100	0
True	2	3	5.38	382	382	100	0
True	4	6	49.36	1129	376.33	100	33.33
True	6	8	52.3	1224	244.8	100	0
True	9	9	32.97	17	2.13	100	0
True	7	12	65.78	1641	273.5	100	0
True	13	13	31.63	4	0.33	100	7.69
True	22	26	111.99	2060	98.1	100	0
True	5	20	128.74	4753	1188.25	100	0
True	11	11	30.49	3264	326.4	100	0
True	3	4	15.05	1034	517	100	0
True	2	5	7.99	3279	3279	100	0
True	15	20	42.55	29	2.07	100	0
True	6	6	233.04	2762	552.4	100	0
True	11	11	62.93	2872	287.2	100	0
True	14	17	107.35	61	4.69	100	0
True	60	64	534.25	68	1.15	100	0
True	3	9	34.73	506	253	100	0
True	9	10	29.57	42	5.25	100	0
True	7	13	380.9	2018	336.33	100	0
True	4	7	33.58	4198	1399.33	100	0
True	2	3	25.21	170	170	100	33.33
True	332	334	1003.76	3649	11.02	100	0
True	13	17	348.86	4824	402	100	0
True	27	35	102.3	11298	434.54	100	0
True	21	22	143.59	3157	157.85	100	0
True	60	61	159.94	205	3.47	100	0
True	3	4	6.82	1008	504	100	0
True	14	18	48.32	8804	677.23	100	0
True	8	9	53.35	560	80	100	0
True	2	2	14.91	385	385	100	0
True	4	4	11.85	2	0.67	100	0
True	5	6	5.42	24	6	100	0
True	11	15	36.24	4489	448.9	100	0
True	4	5	30.79	199	66.33	100	20
True	14	15	182.65	23	1.77	100	0
True	4	117	228.54	40	13.33	3.42	0
True	2	11	72.67	2	2	18.18	9.09
True	4	4	11.59	14	4.67	100	0
True	3	3	162.61	3	1.5	0	0
True	4	4	12.62	8	2.67	100	0
True	2	110	1154.09	75	75	1.82	0
True	52	64	598.29	8606	168.75	100	0
True	6	7	41.89	17	3.4	100	0
True	2	4	10.52	23	23	75	25
True	15	259	2946.7	303	21.64	10.04	4.25
True	4	4	20.56	2162	720.67	100	0
True	61	63	482.11	61	1.02	100	0
True	14	16	318.18	20	1.54	100	0
True	4	4	0.87	2	0.67	100	100
True	43	45	249.11	6260	149.05	100	0
True	2	3	1.91	34	34	100	0
True	16	16	222.82	2	0.13	100	25
True	3	3	22.82	2	1	0	0
True	4	8	58.19	1894	631.33	100	0
True	2	78	660.66	16	16	1.28	1.28
True	540	542	1736.93	5870	10.89	100	0
True	14	15	76.92	42	3.23	100	0
True	4	6	9.35	1905	635	100	0
True	2	4	15.35	8	8	100	0
True	5	5	17.15	1343	335.75	100	0
True	3	3	22.82	2	1	0	0
True	4	4	13.9	285	95	50	0
True	5	10	29.95	5399	1349.75	100	0
True	14	14	67.82	23	1.77	100	0
True	2	2	5.3	185	185	100	0
True	3	8	92.6	434	217	100	0
True	2	2	11.35	610	610	100	0
True	536	542	2244.69	2517	4.7	100	0
True	5	8	98.9	2627	656.75	100	0
True	2	6	42.49	2	2	100	0
True	15	15	98.95	23	1.64	100	0
True	21	23	105.1	6343	317.15	100	0
True	61	63	460.91	66	1.1	100	0
True	2	4	43.51	862	862	100	0
True	3	12	156.35	2580	1290	100	0
True	7	9	34.36	1688	281.33	100	0
True	60	64	699.48	68	1.15	100	0
True	22	32	150.68	437	20.81	100	0
True	59	88	204.02	32012	551.93	100	0
True	7	12	63.75	110	18.33	100	0
True	3	7	14.37	1823	911.5	100	0
True	3	4	5.21	5	2.5	100	25
